Time, Centroid
23.200000, 3256.956155
23.300000, 2877.446125
23.400000, 2678.330533
23.500000, 2777.878761
23.600000, 2914.413656
23.700000, 2359.129217
23.800000, 2234.393609
23.900000, 1388.013289
24.000000, 1449.899179
24.100000, 2534.137625
24.200000, 2451.115420
24.300000, 2854.575101
24.400000, 3058.113856
24.500000, 2432.891370
24.600000, 2305.423530
24.700000, 1658.636235
24.800000, 3214.096979
24.900000, 2796.852774
25.000000, 2529.313281
25.100000, 1430.825234
25.200000, 1288.560815
25.300000, 1422.042950
25.400000, 1970.637347
25.500000, 1514.950083
25.600000, 3527.787853
25.700000, 2937.904601
25.800000, 2635.473040
25.900000, 2390.730348
26.000000, 2837.307524
26.100000, 2550.262178
26.200000, 2489.684733
26.300000, 1688.135188
26.400000, 3152.024192
26.500000, 2545.609846
26.600000, 2431.078672
26.700000, 2774.128707
26.800000, 2971.492613
26.900000, 1757.491373
27.000000, 934.202002
27.100000, 1411.757119
27.200000, 1464.502833
27.300000, 2392.778768
27.400000, 2335.892162
27.500000, 3447.326318
27.600000, 3858.857389
27.700000, 3100.734898
27.800000, 2205.310541
27.900000, 1606.764555
28.000000, 3363.422842
28.100000, 2516.823612
28.200000, 2236.400022
28.300000, 2877.174738
28.400000, 3512.410794
28.500000, 2723.842207
28.600000, 2307.872628
28.700000, 1682.862332
28.800000, 1458.993400
28.900000, 2218.224685
29.000000, 2427.391624
29.100000, 3178.539914
29.200000, 3511.206116
29.300000, 2925.961622
29.400000, 2459.277712
29.500000, 1698.038911
29.600000, 3240.399991
29.700000, 3000.068496
29.800000, 2388.851441
29.900000, 3026.672735
30.000000, 3532.598869
30.100000, 2931.752898
30.200000, 2554.541708
30.300000, 1494.268110
30.400000, 1462.136655
30.500000, 2138.020223
30.600000, 2154.032675
30.700000, 2979.891336
30.800000, 3587.917416
30.900000, 2957.924703
31.000000, 2476.642001
31.100000, 1988.168025
31.200000, 3311.641549
31.300000, 2635.001689
31.400000, 2056.350353
31.500000, 1209.689129
31.600000, 1110.742017
31.700000, 1486.566473
31.800000, 1713.362621
31.900000, 1425.764961
32.000000, 2772.273413
32.100000, 2910.070444
32.200000, 3413.195798
32.300000, 2914.840311
32.400000, 2699.386407
32.500000, 2748.349803
32.600000, 2558.813149
32.700000, 1805.663975
32.800000, 3325.052300
32.900000, 2565.289893
33.000000, 2277.387253
33.100000, 3010.119029
33.200000, 3211.336780
33.300000, 2451.560208
33.400000, 2202.736416
33.500000, 1744.499845
33.600000, 1808.701504
33.700000, 2535.141637
33.800000, 2475.234058
33.900000, 3106.095626
34.000000, 3085.764558
34.100000, 2400.397297
34.200000, 2281.951293
34.300000, 1741.906808
34.400000, 3360.011169
34.500000, 2780.863867
34.600000, 2452.349044
34.700000, 3334.630533
34.800000, 3106.057171
34.900000, 2402.072351
35.000000, 2343.285722
35.100000, 1812.476982
35.200000, 1686.464466
35.300000, 2600.189809
35.400000, 2553.609991
35.500000, 2998.460125
35.600000, 3755.646241
35.700000, 3204.657545
35.800000, 2304.459284
35.900000, 1568.948521
36.000000, 3246.573668
36.100000, 2881.356588
36.200000, 2556.536261
36.300000, 2812.968035
36.400000, 2921.088325
36.500000, 2430.053248
36.600000, 2194.968985
36.700000, 1387.471382
36.800000, 1448.303286
36.900000, 2400.062403
37.000000, 2430.288591
37.100000, 2944.192079
37.200000, 3053.149121
37.300000, 2388.288286
37.400000, 2266.206059
37.500000, 1798.118461
37.600000, 3216.880779
37.700000, 3106.483505
37.800000, 3011.916526
37.900000, 3363.930311
38.000000, 3048.475824
38.100000, 2215.039780
